s016,0.4979,0.3763,0.2544,0.1898,0.2758,0.1824,0.9384,0.8546,1.0448,0.982,0.3908,0.3016,0.4742,0.3671,0.4384,0.3357,0.3562,0.2426,0.4517,0.3374
s017,0.2873,0.2179,0.0902,0.0431,0.128,0.0807,0.4803,0.4251,0.4692,0.4086,0.1867,0.125,0.1319,0.0705,0.0797,0.0173,0.2242,0.1668,0.2434,0.1816
s018,0.2125,0.122,0.1423,0.0457,0.168,0.091,0.6123,0.5393,0.5389,0.4402,0.3983,0.2956,0.3419,0.2571,0.1782,0.0826,0.3036,0.2118,0.2468,0.154
s019,0.4294,0.3616,0.3908,0.3025,0.2888,0.2258,0.5611,0.4473,0.9675,0.8836,0.3749,0.2461,0.2527,0.1857,0.2823,0.1585,0.3688,0.275,0.7987,0.7299
s020,0.2312,0.1028,0.1051,0.0154,0.149,0.0375,0.5143,0.4173,0.5847,0.5125,0.1838,0.0791,0.1308,0.0197,0.3049,0.182,0.2212,0.1045,0.4834,0.3746
s021,0.3918,0.3007,0.3799,0.3164,0.2717,0.1817,0.356,0.2768,0.4138,0.3352,0.2553,0.1834,0.2332,0.1567,0.2036,0.1276,0.2137,0.1456,0.4641,0.3672
s022,0.687,0.6358,0.383,0.3328,0.2723,0.2268,1.3498,1.2672,1.0709,1.021,0.982,0.9215,0.2959,0.2484,0.3852,0.3066,1.014,0.962,0.9766,0.9168
s024,0.3385,0.2583,0.2047,0.1503,0.1379,0.093,0.9583,0.8993,0.6871,0.632,0.3343,0.277,0.1623,0.1112,0.1849,0.1096,0.3296,0.2694,0.3894,0.304
s025,0.3228,0.2201,0.131,0.0582,0.1275,0.0592,0.8474,0.7714,0.5942,0.5193,0.2954,0.2154,0.1377,0.062,0.1762,0.1047,0.2819,0.2125,0.6447,0.5602
s026,0.2528,0.1645,0.1183,0.0485,0.15,0.063,0.3643,0.2847,0.4054,0.3411,0.2066,0.1328,0.2019,0.1186,0.1372,0.0545,0.1664,0.1076,0.2941,0.1997
s027,0.4309,0.3366,0.4415,0.3609,0.0965,-0.0152,0.7528,0.6618,0.6461,0.5729,0.2822,0.1725,0.0856,-0.0287,0.3018,0.198,0.178,0.0978,0.4295,0.3135
s028,0.2144,0.1424,0.1113,0.0575,0.0768,0.0185,0.6963,0.6327,0.5179,0.4641,0.3684,0.2984,0.2243,0.1748,0.1741,0.1036,0.2765,0.2198,0.209,0.1564
s029,0.2076,0.1154,0.1249,0.0641,0.1085,0.0592,0.5266,0.4606,0.518,0.4392,0.1824,0.1137,0.1386,0.0711,0.1843,0.1055,0.1837,0.1025,0.2742,0.1951
s030,0.7595,0.68,0.5565,0.4672,0.2136,0.1489,0.7793,0.7012,0.5026,0.4308,0.4913,0.4188,0.1661,0.061,0.1687,0.0733,0.2905,0.2234,0.5455,0.4801
s031,0.3688,0.2844,0.1943,0.1321,0.2594,0.1851,0.9022,0.8402,0.6029,0.5495,0.3465,0.2726,0.1495,0.0803,0.1369,0.0402,0.3003,0.2142,0.3814,0.3018
s032,0.3124,0.2087,0.1848,0.0901,0.2498,0.1604,0.5941,0.504,0.6378,0.5497,0.2477,0.1528,0.1569,0.0809,0.1708,0.0917,0.2549,0.1923,0.5731,0.5026
s033,0.5252,0.4188,0.2197,0.0529,0.2895,0.1322,0.9184,0.7688,0.8914,0.7832,0.3548,0.2129,0.3849,0.2514,0.3893,0.1153,0.4508,0.3016,0.5192,0.379
s034,0.2486,0.1689,0.0913,0.0181,0.1175,0.0488,0.7633,0.6949,0.6176,0.5413,0.2532,0.1444,0.1235,0.0455,0.1517,0.0609,0.2727,0.1752,0.5641,0.4749
s035,0.3817,0.3343,0.1294,0.0596,0.2224,0.1627,0.6392,0.5703,0.7942,0.7245,0.4963,0.3923,0.2108,0.1525,0.2389,0.1631,0.2382,0.1827,0.4146,0.3539
s036,1.2139,1.1687,0.5992,0.5616,0.8781,0.8376,1.0561,1.0101,1.0984,1.0568,0.8658,0.8259,0.3864,0.3454,0.3982,0.3516,0.9342,0.8993,1.7019,1.6611
s037,0.3472,0.2322,0.1462,0.0602,0.1625,0.0852,0.5647,0.4821,0.3965,0.3278,0.2281,0.1426,0.1627,0.0514,0.1701,0.0686,0.2138,0.1278,0.5569,0.4356
s038,0.4997,0.4192,0.0928,0.0356,0.3241,0.2656,0.5494,0.4848,0.8636,0.8105,0.5887,0.5163,0.1697,0.1016,0.1339,0.0382,0.3869,0.326,0.4175,0.341
s039,0.2671,0.1948,0.1615,0.0883,0.1731,0.1101,0.6472,0.5666,0.619,0.5448,0.4681,0.3302,0.2425,0.1741,0.1759,0.09,0.4406,0.3629,0.338,0.2603
s040,0.5617,0.4346,0.2422,0.0992,0.2392,0.123,1.1744,1.0415,0.8238,0.7445,0.5297,0.444,0.42,0.2744,0.1979,0.0193,0.3478,0.233,0.7896,0.6785
s041,0.3911,0.2107,0.1953,0.0861,0.1613,0.0708,0.4693,0.3509,0.6006,0.5068,0.2837,0.1405,0.2787,0.1633,0.2757,0.128,0.2746,0.1655,0.3513,0.2466
s042,0.3096,0.2244,0.1568,0.1004,0.204,0.1383,0.773,0.7055,0.5988,0.5369,0.613,0.5452,0.1687,0.1069,0.2519,0.1976,0.3551,0.2683,0.3417,0.2547
s043,0.9574,0.8982,0.8738,0.816,0.1182,0.0576,0.6083,0.5212,0.6942,0.643,0.795,0.7495,0.1093,0.0495,0.2904,0.1899,0.391,0.3364,0.7577,0.7104
s044,0.5879,0.5071,0.1953,0.1468,0.4385,0.3851,0.9645,0.9143,0.67,0.6218,0.9117,0.8603,0.1947,0.1312,0.218,0.1556,0.4234,0.3656,0.613,0.5411
s046,0.752,0.6528,0.371,0.2939,0.4402,0.3652,0.426,0.3498,0.8874,0.7989,0.4301,0.3311,0.4315,0.3498,0.1854,0.076,0.4075,0.3127,0.4489,0.3567
s047,0.5961,0.5189,0.3746,0.2871,0.1464,0.0869,1.0455,0.9746,0.8024,0.7347,0.7211,0.6374,0.196,0.1306,0.2917,0.2104,0.7588,0.6754,1.0536,0.9428
s048,0.2634,0.1695,0.0925,0.0088,0.1094,0.0469,0.684,0.6056,0.577,0.5023,0.1759,0.0938,0.1495,0.0802,0.22,0.1375,0.2373,0.1619,0.2787,0.1989
s049,1.7172,1.6359,0.4076,0.2888,3.2346,3.1505,1.6592,1.5234,2.6378,2.5363,1.3388,1.242,0.4378,0.3486,0.4826,0.3284,0.8413,0.7558,1.3607,1.2859
s050,0.4214,0.3256,0.191,0.1269,0.4158,0.3497,0.5511,0.4684,0.5527,0.4807,0.298,0.2031,0.2004,0.0974,0.1886,0.0898,0.2207,0.1496,0.3297,0.2308
s051,0.257,0.1517,0.1281,0.0527,0.1365,0.0684,0.3711,0.301,0.3881,0.3124,0.2351,0.1681,0.1679,0.0905,0.1608,0.0919,0.1472,0.0696,0.398,0.3125
s052,0.8449,0.7884,0.0724,-0.0158,0.1059,0.0028,0.9017,0.823,0.456,0.3872,0.3118,0.2416,0.2127,0.1438,0.4157,0.3376,0.0745,-0.0059,0.6748,0.5693
s053,0.3287,0.1987,0.0662,0.0144,0.0913,-0.0028,0.3638,0.3013,0.4648,0.3875,0.2501,0.1912,0.1359,0.0449,0.0907,-0.0338,0.1035,-0.0038,0.3168,0.2003
s054,0.6602,0.5595,0.1831,0.106,0.1971,0.104,0.5678,0.4891,0.4926,0.4286,0.2906,0.2219,0.1762,0.0918,0.3738,0.2891,0.272,0.2044,0.3069,0.2083
s055,0.2022,0.1199,0.0948,0.0087,0.1162,0.0384,0.3972,0.3151,0.3877,0.2869,0.1468,0.0286,0.1035,0.0229,0.1212,0.0256,0.177,0.11,0.2402,0.1576
s056,0.3013,0.1863,0.1845,0.1088,0.1106,0.0266,0.4041,0.3058,0.4533,0.3555,0.2672,0.1619,0.3921,0.2754,0.1809,0.0614,0.1782,0.0893,0.3689,0.2534
s057,0.2092,0.1105,0.1,0.0274,0.1423,0.0604,0.3155,0.2602,0.4026,0.3367,0.2212,0.1587,0.1238,0.0427,0.1783,0.0996,0.2461,0.1808,0.3923,0.2967
